gene,gene_id,logFC,logCPM,F,PValue,FDR
DVL2,ENSG00000004975,-0.124228451973273,5.22140007444471,4.78092422693589,0.0377923707054524,0.155906849977658
UPF1,ENSG00000005007,-0.0638063132062097,6.23419454974807,1.4337767576197,0.24175194839013,0.46761797506163
SKAP2,ENSG00000005020,0.434525040338911,5.44763688476284,43.436096513555,4.97475598784337e-07,0.00015311402645639
SLC25A5,ENSG00000005022,-0.0533906894963804,7.30275398916803,0.453005155671301,0.506739708911932,0.710303117582449
CCDC109B,ENSG00000005059,0.0360774654160119,3.54105393374804,0.0996877584545137,0.75467824703364,0.874514942017968
HOXA11,ENSG00000005073,-0.692419479734956,4.08705798582267,3.62433757721425,0.0683762967786914,0.221133147765423
POLR2J,ENSG00000005075,-0.00773596833911826,3.76064456248708,0.00971512916116332,0.922225275404175,0.962871507613619
DHX33,ENSG00000005100,0.0868642730290385,4.96788680566815,1.07504236298204,0.309179594120532,0.536629336516579
LIG3,ENSG00000005156,0.0296429241097283,4.82344526186052,0.0530553128945819,0.819598739345502,0.911767200267835
RPAP3,ENSG00000005175,0.0732802479283842,4.2352148225374,0.693624125468181,0.412378826954635,0.632641798110672
AC004381.6,ENSG00000005189,-0.196563095743568,3.37665325295161,2.2145253158548,0.148523001526631,0.350492334286849
CIAPIN1,ENSG00000005194,0.0617878335992732,5.11409933040855,0.589265627680457,0.449490356565806,0.663576580883728
SPPL2B,ENSG00000005206,-0.329314477421508,4.90835407457912,6.84334435319345,0.0145039238902608,0.0885923688231999
FAM214B,ENSG00000005238,0.205498635428194,5.38369175278514,8.75404335837302,0.00642904152283409,0.0541122203069922
COPZ2,ENSG00000005243,0.155348738568587,4.43486983445579,2.37509196394012,0.135143682970229,0.331033839970953
MSL3,ENSG00000005302,-0.0100629630920902,4.62630127869675,0.0286384281418457,0.866901931302152,0.933275661816377
CREBBP,ENSG00000005339,-0.190725642875955,5.47494421327901,2.92557265166654,0.0988724174398746,0.275811026843457
BZRAP1,ENSG00000005379,-0.864287879662111,0.437884793929702,1.78525991482273,0.193348306854236,0.411091861831842
GCFC2,ENSG00000005436,-0.19224306467706,4.41726129099283,3.28947032544054,0.0810675555732568,0.245367720865229
WDR54,ENSG00000005448,0.217313269294961,3.98458880347333,2.77298332873074,0.107649391250399,0.290362767411692
CROT,ENSG00000005469,0.25947978371934,4.94738800913724,6.31428336739234,0.018380271814324,0.101683003649999
KMT2E,ENSG00000005483,-0.0837889004447246,5.99871468561202,1.52121890571457,0.228265159200406,0.452983629079642
